,state,zip_code,av_rate
90,california, 91501,$35.00
91,california, 91502,$50.00
92,california, 91504,$45.00
93,california, 91505,$55.00
94,california, 91506,$55.00
95,california, 94010,$70.00
96,california, 91302,$50.00
97,california, 92231,$20.00
98,california, 94515,$40.00
99,california, 93010,$50.00
100,california, 93011,$60.00
101,california, 93012,$50.00
102,california, 95709,$35.00
103,california, 95008,$50.00
104,california, 91303,$40.00
105,california, 91304,$40.00
106,california, 91351,$40.00
107,california, 91387,$45.00
108,california, 92624,$45.00
109,california, 95010,$45.00
110,california, 92007,$50.00
111,california, 92008,$40.00
112,california, 92009,$45.00
113,california, 92010,$45.00
114,california, 92011,$50.00
115,california, 93924,$45.00
116,california, 93923,$50.00
117,california, 95608,$45.00
118,california, 93013,$50.00
119,california, 90745,$40.00
120,california, 90746,$55.00
121,california, 91384,$50.00
122,california, 94546,$50.00
123,california, 94552,$45.00
124,california, 95012,$50.00
125,california, 92234,$50.00
126,california, 92321,$50.00
127,california, 95924,$30.00
128,california, 95307,$30.00
129,california, 90703,$45.00
130,california, 91311,$50.00
131,california, 95926,$30.00
132,california, 95927,$50.00
133,california, 95928,$40.00
134,california, 95973,$40.00
135,california, 91709,$40.00
136,california, 91708,$35.00
137,california, 91710,$35.00
138,california, 93610,$50.00
139,california, 91910,$40.00
140,california, 91911,$35.00
141,california, 91913,$45.00
142,california, 91914,$35.00
143,california, 91915,$45.00
144,california, 95610,$40.00
145,california, 95621,$50.00
146,california, 91711,$45.00
147,california, 95612,$40.00
148,california, 94517,$45.00
149,california, 95423,$45.00
150,california, 95425,$50.00
151,california, 93611,$40.00
152,california, 93612,$40.00
153,california, 93619,$35.00
154,california, 93210,$35.00
155,california, 93614,$40.00
156,california, 95713,$50.00
157,california, 92324,$45.00
158,california, 95932,$35.00
159,california, 90220,$40.00
160,california, 90221,$45.00
161,california, 94518,$55.00
162,california, 94519,$40.00
163,california, 94520,$45.00
164,california, 94521,$45.00
165,california, 95228,$45.00
166,california, 92625,$55.00
167,california, 92877,$50.00
168,california, 92879,$45.00
169,california, 92880,$45.00
170,california, 92881,$40.00
171,california, 92882,$45.00
172,california, 92883,$45.00
173,california, 92118,$45.00
174,california, 94925,$50.00
175,california, 92626,$55.00
176,california, 92627,$45.00
177,california, 94931,$55.00
178,california, 96022,$45.00
179,california, 91722,$40.00
180,california, 91723,$40.00
181,california, 91724,$35.00
182,california, 95531,$35.00
183,california, 92325,$45.00
184,california, 93432,$45.00
185,california, 94525,$40.00
186,california, 90230,$45.00
187,california, 90232,$50.00
188,california, 95014,$50.00
189,california, 90630,$50.00
190,california, 94014,$55.00
191,california, 94015,$50.00
192,california, 92629,$50.00
193,california, 94506,$60.00
194,california, 94526,$45.00
195,california, 95616,$40.00
196,california, 95618,$40.00
197,california, 92014,$30.00
198,california, 93616,$30.00
199,california, 93215,$25.00
200,california, 95315,$45.00
201,california, 95316,$40.00
202,california, 91916,$45.00
203,california, 92240,$50.00
204,california, 92241,$40.00
205,california, 94528,$30.00
206,california, 91765,$40.00
207,california, 93618,$40.00
208,california, 94505,$45.00
209,california, 95620,$25.00
210,california, 90240,$40.00
211,california, 90241,$40.00
212,california, 90242,$60.00
213,california, 91010,$45.00
214,california, 94568,$50.00
215,california, 95938,$35.00
216,california, 93219,$30.00
217,california, 92242,$40.00
218,california, 92019,$40.00
219,california, 92020,$45.00
220,california, 92021,$45.00
221,california, 92243,$30.00
222,california, 94530,$50.00
223,california, 95762,$50.00
224,california, 91731,$40.00
225,california, 91732,$40.00
226,california, 90245,$40.00
227,california, 94803,$35.00
228,california, 95624,$45.00
229,california, 95757,$50.00
230,california, 95758,$45.00
231,california, 95625,$35.00
232,california, 94608,$50.00
233,california, 92024,$50.00
234,california, 91316,$55.00
235,california, 91436,$55.00
236,california, 92025,$50.00
237,california, 92026,$40.00
238,california, 92027,$45.00
239,california, 92029,$50.00
240,california, 95501,$25.00
241,california, 95503,$45.00
242,california, 93221,$35.00
243,california, 95628,$40.00
244,california, 94533,$40.00
245,california, 94534,$50.00
246,california, 92028,$45.00
247,california, 93015,$40.00
248,california, 95630,$45.00
249,california, 92335,$35.00
250,california, 92336,$40.00
251,california, 92337,$30.00
252,california, 92610,$45.00
253,california, 92339,$35.00
254,california, 95436,$65.00
255,california, 96112,$35.00
256,california, 95540,$40.00
257,california, 92708,$40.00
258,california, 93225,$30.00
259,california, 95019,$30.00
260,california, 94536,$50.00
261,california, 94538,$50.00
262,california, 94539,$50.00
263,california, 94555,$50.00
264,california, 93650,$40.00
265,california, 93701,$30.00
266,california, 93703,$35.00
267,california, 93704,$45.00
268,california, 93705,$50.00
269,california, 93706,$35.00
270,california, 93710,$35.00
271,california, 93711,$35.00
272,california, 93720,$30.00
273,california, 93721,$35.00
274,california, 93722,$20.00
275,california, 93723,$40.00
276,california, 93725,$40.00
277,california, 93726,$40.00
278,california, 93727,$40.00
279,california, 93728,$50.00
280,california, 93730,$35.00
281,california, 93737,$35.00
282,california, 93779,$40.00
283,california, 92831,$45.00
284,california, 92832,$45.00
285,california, 92833,$45.00
286,california, 92834,$45.00
287,california, 92835,$40.00
288,california, 95632,$60.00
289,california, 92840,$35.00
290,california, 92841,$40.00
291,california, 92843,$35.00
292,california, 92844,$45.00
293,california, 92845,$35.00
294,california, 95633,$40.00
295,california, 90247,$45.00
296,california, 90248,$35.00
297,california, 90249,$50.00
298,california, 95441,$45.00
299,california, 95020,$40.00
300,california, 91201,$55.00
301,california, 91202,$45.00
302,california, 91203,$45.00
303,california, 91204,$60.00
304,california, 91205,$45.00
305,california, 91206,$50.00
306,california, 91207,$40.00
307,california, 91208,$45.00
308,california, 91210,$75.00
309,california, 91740,$35.00
310,california, 91741,$35.00
311,california, 95943,$40.00
312,california, 93117,$45.00
313,california, 91344,$50.00
314,california, 92313,$50.00
315,california, 95746,$45.00
316,california, 95945,$40.00
317,california, 95949,$35.00
318,california, 94904,$55.00
319,california, 95948,$40.00
320,california, 93433,$50.00
321,california, 93434,$50.00
322,california, 95446,$50.00
323,california, 95322,$40.00
324,california, 91745,$45.00
325,california, 94019,$40.00
326,california, 93230,$40.00
327,california, 90710,$45.00
328,california, 90716,$30.00
329,california, 90250,$45.00
330,california, 94541,$45.00
331,california, 94542,$40.00
332,california, 94544,$45.00
333,california, 94545,$60.00
334,california, 95448,$50.00
335,california, 92342,$25.00
336,california, 92543,$30.00
337,california, 92544,$45.00
338,california, 92545,$40.00
339,california, 94547,$40.00
340,california, 90254,$55.00
341,california, 92344,$35.00
342,california, 92345,$35.00
343,california, 92346,$40.00
344,california, 95324,$40.00
345,california, 95023,$55.00
346,california, 92548,$45.00
347,california, 92646,$40.00
348,california, 92647,$45.00
349,california, 92648,$45.00
350,california, 92649,$50.00
351,california, 92549,$55.00
352,california, 91932,$45.00
353,california, 92251,$35.00
354,california, 92210,$45.00
355,california, 92201,$35.00
356,california, 92203,$45.00
357,california, 90301,$40.00
358,california, 90302,$40.00
359,california, 90303,$40.00
360,california, 90304,$45.00
361,california, 90305,$45.00
362,california, 92602,$40.00
363,california, 92603,$55.00
364,california, 92604,$50.00
365,california, 92606,$40.00
366,california, 92612,$45.00
367,california, 92614,$45.00
368,california, 92617,$45.00
369,california, 92618,$55.00
370,california, 92620,$50.00
371,california, 92697,$70.00
372,california, 91935,$40.00
373,california, 95450,$35.00
374,california, 93528,$45.00
375,california, 92252,$40.00
376,california, 95451,$35.00
377,california, 93630,$35.00
378,california, 95328,$50.00
379,california, 93930,$35.00
380,california, 93631,$40.00
381,california, 91011,$45.00
382,california, 91214,$40.00
383,california, 90631,$45.00
384,california, 92037,$50.00
385,california, 92092,$30.00
386,california, 92093,$40.00
387,california, 91941,$45.00
388,california, 91942,$40.00
389,california, 90638,$40.00
390,california, 90639,$35.00
391,california, 90623,$45.00
392,california, 91744,$40.00
393,california, 91746,$45.00
394,california, 92253,$50.00
395,california, 91750,$50.00
396,california, 92694,$45.00
397,california, 94549,$65.00
398,california, 92651,$65.00
399,california, 92653,$50.00
400,california, 92677,$50.00
401,california, 92637,$50.00
402,california, 94938,$45.00
403,california, 92352,$65.00
404,california, 92530,$50.00
405,california, 92532,$40.00
406,california, 92630,$50.00
407,california, 95453,$45.00
408,california, 92040,$50.00
409,california, 90712,$45.00
410,california, 90713,$55.00
411,california, 90714,$40.00
412,california, 90715,$45.00
413,california, 93534,$40.00
414,california, 93535,$40.00
415,california, 93536,$35.00
416,california, 92285,$45.00
417,california, 94939,$60.00
418,california, 90260,$40.00
419,california, 91945,$45.00
420,california, 93245,$35.00
421,california, 95648,$60.00
422,california, 93247,$30.00
423,california, 93543,$45.00
424,california, 95953,$25.00
425,california, 94550,$50.00
426,california, 94551,$50.00
427,california, 95237,$40.00
428,california, 95240,$40.00
429,california, 95242,$50.00
430,california, 92354,$40.00
431,california, 90717,$45.00
432,california, 93436,$40.00
433,california, 90802,$45.00
434,california, 90803,$45.00
435,california, 90804,$45.00
436,california, 90805,$50.00
437,california, 90806,$50.00
438,california, 90807,$45.00
439,california, 90808,$45.00
440,california, 90809,$45.00
441,california, 90810,$50.00
442,california, 90813,$50.00
443,california, 90814,$40.00
444,california, 90815,$45.00
445,california, 95650,$35.00
446,california, 90720,$45.00
447,california, 94022,$65.00
448,california, 94024,$70.00
449,california, 90001,$50.00
450,california, 90002,$45.00
451,california, 90004,$50.00
452,california, 90005,$50.00
453,california, 90006,$50.00
454,california, 90007,$45.00
455,california, 90008,$50.00
456,california, 90009,$40.00
457,california, 90011,$50.00
458,california, 90012,$50.00
459,california, 90013,$65.00
460,california, 90014,$50.00
461,california, 90015,$40.00
462,california, 90016,$50.00
463,california, 90017,$55.00
464,california, 90018,$40.00
465,california, 90019,$50.00
466,california, 90020,$45.00
467,california, 90021,$95.00
468,california, 90022,$40.00
469,california, 90024,$55.00
470,california, 90025,$60.00
471,california, 90026,$55.00
472,california, 90027,$50.00
473,california, 90028,$55.00
474,california, 90029,$40.00
475,california, 90031,$50.00
476,california, 90032,$40.00
477,california, 90033,$45.00
478,california, 90034,$50.00
479,california, 90035,$55.00
480,california, 90036,$60.00
481,california, 90037,$45.00
482,california, 90038,$50.00
483,california, 90039,$50.00
484,california, 90041,$50.00
485,california, 90042,$50.00
486,california, 90043,$40.00
487,california, 90044,$45.00
488,california, 90045,$60.00
489,california, 90046,$55.00
490,california, 90047,$55.00
491,california, 90048,$55.00
492,california, 90049,$55.00
493,california, 90056,$40.00
494,california, 90057,$45.00
495,california, 90059,$50.00
496,california, 90062,$40.00
497,california, 90063,$35.00
498,california, 90064,$65.00
499,california, 90065,$50.00
500,california, 90066,$50.00
501,california, 90067,$95.00
502,california, 90068,$60.00
503,california, 90071,$60.00
504,california, 90089,$55.00
505,california, 90094,$50.00
506,california, 90095,$50.00
507,california, 93635,$45.00
508,california, 95030,$65.00
509,california, 95032,$50.00
510,california, 95033,$60.00
511,california, 93441,$75.00
512,california, 93402,$45.00
513,california, 90262,$50.00
514,california, 93636,$40.00
515,california, 93637,$40.00
516,california, 95954,$35.00
517,california, 90263,$50.00
518,california, 90265,$60.00
519,california, 90266,$55.00
520,california, 95336,$45.00
521,california, 95337,$50.00
522,california, 92518,$40.00
523,california, 90292,$55.00
524,california, 90295,$60.00
525,california, 93933,$45.00
526,california, 95338,$35.00
527,california, 94553,$45.00
528,california, 95901,$20.00
529,california, 95655,$35.00
530,california, 96056,$50.00
531,california, 95519,$50.00
532,california, 92254,$50.00
533,california, 92584,$45.00
534,california, 94025,$60.00
535,california, 92359,$45.00
536,california, 95340,$40.00
537,california, 95341,$40.00
538,california, 95348,$40.00
539,california, 95461,$40.00
540,california, 92655,$45.00
541,california, 94941,$65.00
542,california, 94030,$60.00
543,california, 95035,$55.00
544,california, 91752,$45.00
545,california, 91345,$30.00
546,california, 92691,$50.00
547,california, 92692,$45.00
548,california, 95350,$40.00
549,california, 95351,$40.00
550,california, 95354,$30.00
551,california, 95355,$40.00
552,california, 95356,$45.00
553,california, 95358,$40.00
554,california, 91016,$45.00
555,california, 91763,$40.00
556,california, 90640,$40.00
557,california, 91754,$45.00
558,california, 91755,$40.00
559,california, 93940,$45.00
560,california, 93944,$30.00
561,california, 91020,$60.00
562,california, 93021,$50.00
563,california, 94556,$60.00
564,california, 92551,$40.00
565,california, 92553,$40.00
566,california, 92555,$45.00
567,california, 92556,$65.00
568,california, 92557,$40.00
569,california, 95037,$50.00
570,california, 93442,$40.00
571,california, 94038,$25.00
572,california, 96067,$55.00
573,california, 94040,$60.00
574,california, 94041,$70.00
575,california, 94042,$55.00
576,california, 94043,$50.00
577,california, 92562,$40.00
578,california, 92563,$45.00
579,california, 94558,$45.00
580,california, 94559,$55.00
581,california, 92363,$40.00
582,california, 95959,$50.00
583,california, 94560,$45.00
584,california, 91320,$50.00
585,california, 95658,$45.00
586,california, 91321,$45.00
587,california, 92660,$55.00
588,california, 92662,$70.00
589,california, 92663,$45.00
590,california, 92657,$65.00
591,california, 93444,$65.00
592,california, 92860,$35.00
593,california, 93643,$45.00
594,california, 95660,$35.00
595,california, 91343,$55.00
596,california, 91601,$50.00
597,california, 91602,$50.00
598,california, 91605,$55.00
599,california, 91606,$45.00
600,california, 91324,$40.00
601,california, 91325,$45.00
602,california, 91326,$55.00
603,california, 91330,$60.00
604,california, 90650,$40.00
605,california, 94945,$50.00
606,california, 94947,$45.00
607,california, 94949,$55.00
608,california, 92567,$45.00
609,california, 93645,$55.00
610,california, 91377,$65.00
611,california, 93022,$50.00
612,california, 95361,$65.00
613,california, 94601,$50.00
614,california, 94602,$55.00
615,california, 94603,$35.00
616,california, 94605,$50.00
617,california, 94606,$50.00
618,california, 94607,$55.00
619,california, 94609,$55.00
620,california, 94610,$55.00
621,california, 94611,$50.00
622,california, 94612,$45.00
623,california, 94613,$40.00
624,california, 94618,$60.00
625,california, 94619,$65.00
626,california, 94621,$50.00
627,california, 94561,$35.00
628,california, 93445,$50.00
629,california, 92049,$50.00
630,california, 92054,$45.00
631,california, 92056,$45.00
632,california, 92057,$40.00
633,california, 92058,$50.00
634,california, 93023,$55.00
635,california, 95961,$40.00
636,california, 91761,$40.00
637,california, 91762,$40.00
638,california, 91764,$50.00
639,california, 92865,$55.00
640,california, 92866,$35.00
641,california, 92867,$55.00
642,california, 92868,$55.00
643,california, 92869,$45.00
644,california, 95662,$55.00
645,california, 95962,$50.00
646,california, 94563,$40.00
647,california, 95965,$40.00
648,california, 95966,$40.00
649,california, 93030,$50.00
650,california, 93033,$35.00
651,california, 93034,$25.00
652,california, 93035,$50.00
653,california, 93036,$40.00
654,california, 93950,$50.00
655,california, 90272,$60.00
656,california, 94044,$55.00
657,california, 91331,$70.00
658,california, 92211,$50.00
659,california, 92260,$40.00
660,california, 92262,$50.00
661,california, 92264,$40.00
662,california, 93550,$40.00
663,california, 93551,$45.00
664,california, 93552,$35.00
665,california, 94301,$65.00
666,california, 94303,$65.00
667,california, 94304,$45.00
668,california, 94306,$85.00
669,california, 96073,$20.00
670,california, 90274,$55.00
671,california, 91402,$45.00
672,california, 95969,$35.00
673,california, 90723,$40.00
674,california, 93648,$30.00
675,california, 91101,$60.00
676,california, 91103,$45.00
677,california, 91104,$45.00
678,california, 91105,$40.00
679,california, 91106,$50.00
680,california, 91107,$50.00
681,california, 91121,$60.00
682,california, 91125,$40.00
683,california, 93446,$40.00
684,california, 95363,$30.00
685,california, 93953,$60.00
686,california, 94951,$50.00
687,california, 95663,$55.00
688,california, 92570,$40.00
689,california, 92571,$35.00
690,california, 94952,$50.00
691,california, 94954,$40.00
692,california, 92371,$55.00
693,california, 90660,$45.00
694,california, 95665,$40.00
695,california, 94564,$45.00
696,california, 92372,$35.00
697,california, 93449,$55.00
698,california, 94565,$40.00
699,california, 92870,$45.00
700,california, 95667,$40.00
701,california, 90293,$55.00
702,california, 94523,$45.00
703,california, 94566,$55.00
704,california, 94588,$50.00
705,california, 95726,$50.00
706,california, 91766,$40.00
707,california, 91767,$40.00
708,california, 91768,$45.00
709,california, 94567,$30.00
710,california, 94569,$50.00
711,california, 93041,$50.00
712,california, 93257,$35.00
713,california, 94028,$50.00
714,california, 92064,$45.00
715,california, 93651,$65.00
716,california, 95971,$45.00
717,california, 92065,$55.00
718,california, 95670,$40.00
719,california, 95742,$45.00
720,california, 91701,$45.00
721,california, 91730,$40.00
722,california, 91737,$45.00
723,california, 91739,$35.00
724,california, 92270,$40.00
725,california, 90275,$50.00
726,california, 92067,$50.00
727,california, 92688,$45.00
728,california, 96080,$25.00
729,california, 96001,$40.00
730,california, 96002,$45.00
731,california, 96003,$45.00
732,california, 92373,$45.00
733,california, 92374,$40.00
734,california, 90277,$45.00
735,california, 90278,$50.00
736,california, 94061,$60.00
737,california, 94062,$65.00
738,california, 94063,$60.00
739,california, 94065,$45.00
740,california, 93654,$40.00
741,california, 95672,$75.00
742,california, 91335,$45.00
743,california, 92376,$45.00
744,california, 92377,$45.00
745,california, 94801,$50.00
746,california, 94804,$45.00
747,california, 94805,$40.00
748,california, 93555,$40.00
749,california, 95673,$50.00
750,california, 95366,$35.00
751,california, 95367,$40.00
752,california, 92501,$40.00
753,california, 92503,$40.00
754,california, 92504,$40.00
755,california, 92505,$40.00
756,california, 92506,$45.00
757,california, 92507,$40.00
758,california, 92508,$35.00
759,california, 92509,$40.00
760,california, 95677,$45.00
761,california, 95765,$45.00
762,california, 94572,$55.00
763,california, 94928,$40.00
764,california, 93560,$35.00
765,california, 91770,$35.00
766,california, 95661,$45.00
767,california, 95678,$40.00
768,california, 95747,$35.00
769,california, 91748,$55.00
770,california, 92382,$60.00
771,california, 95811,$45.00
772,california, 95814,$45.00
773,california, 95815,$55.00
774,california, 95816,$45.00
775,california, 95817,$50.00
776,california, 95818,$45.00
777,california, 95819,$35.00
778,california, 95820,$35.00
779,california, 95821,$45.00
780,california, 95822,$45.00
781,california, 95823,$35.00
782,california, 95824,$40.00
783,california, 95825,$40.00
784,california, 95826,$45.00
785,california, 95827,$40.00
786,california, 95828,$45.00
787,california, 95831,$50.00
788,california, 95832,$65.00
789,california, 95833,$45.00
790,california, 95834,$45.00
791,california, 95835,$50.00
792,california, 95838,$40.00
793,california, 95841,$45.00
794,california, 95842,$50.00
795,california, 95864,$50.00
796,california, 94574,$50.00
797,california, 93901,$35.00
798,california, 93905,$40.00
799,california, 93906,$45.00
800,california, 93907,$35.00
801,california, 93908,$50.00
802,california, 94960,$50.00
803,california, 92401,$40.00
804,california, 92404,$35.00
805,california, 92405,$35.00
806,california, 92407,$35.00
807,california, 92408,$40.00
808,california, 92410,$40.00
809,california, 92411,$20.00
810,california, 94066,$55.00
811,california, 94070,$60.00
812,california, 92672,$45.00
813,california, 92673,$45.00
814,california, 92101,$45.00
815,california, 92102,$45.00
816,california, 92103,$45.00
817,california, 92104,$55.00
818,california, 92105,$45.00
819,california, 92106,$45.00
820,california, 92107,$50.00
821,california, 92108,$45.00
822,california, 92109,$50.00
823,california, 92110,$45.00
824,california, 92111,$45.00
825,california, 92113,$30.00
826,california, 92114,$40.00
827,california, 92115,$45.00
828,california, 92116,$40.00
829,california, 92117,$50.00
830,california, 92119,$45.00
831,california, 92120,$45.00
832,california, 92121,$50.00
833,california, 92122,$45.00
834,california, 92123,$45.00
835,california, 92124,$50.00
836,california, 92126,$40.00
837,california, 92127,$45.00
838,california, 92128,$45.00
839,california, 92129,$50.00
840,california, 92130,$50.00
841,california, 92131,$45.00
842,california, 92139,$45.00
843,california, 92154,$45.00
844,california, 92161,$35.00
845,california, 92166,$60.00
846,california, 92182,$30.00
847,california, 91773,$45.00
848,california, 94102,$55.00
849,california, 94103,$55.00
850,california, 94104,$45.00
851,california, 94105,$55.00
852,california, 94107,$60.00
853,california, 94108,$50.00
854,california, 94109,$55.00
855,california, 94110,$55.00
856,california, 94111,$40.00
857,california, 94112,$45.00
858,california, 94114,$65.00
859,california, 94115,$80.00
860,california, 94116,$45.00
861,california, 94117,$60.00
862,california, 94118,$50.00
863,california, 94121,$45.00
864,california, 94122,$50.00
865,california, 94123,$50.00
866,california, 94124,$45.00
867,california, 94126,$30.00
868,california, 94127,$55.00
869,california, 94129,$55.00
870,california, 94130,$90.00
871,california, 94131,$65.00
872,california, 94132,$50.00
873,california, 94133,$50.00
874,california, 94134,$55.00
875,california, 94158,$50.00
876,california, 91775,$40.00
877,california, 91776,$45.00
878,california, 92582,$45.00
879,california, 92583,$35.00
880,california, 95110,$45.00
881,california, 95111,$60.00
882,california, 95112,$40.00
883,california, 95116,$45.00
884,california, 95117,$45.00
885,california, 95118,$50.00
886,california, 95120,$55.00
887,california, 95121,$45.00
888,california, 95122,$40.00
889,california, 95123,$50.00
890,california, 95124,$55.00
891,california, 95125,$50.00
892,california, 95126,$60.00
893,california, 95127,$40.00
894,california, 95128,$70.00
895,california, 95129,$50.00
896,california, 95130,$50.00
897,california, 95131,$60.00
898,california, 95132,$50.00
899,california, 95133,$55.00
900,california, 95134,$50.00
901,california, 95135,$25.00
902,california, 95136,$45.00
903,california, 95138,$40.00
904,california, 95148,$45.00
905,california, 95045,$50.00
906,california, 92675,$60.00
907,california, 94577,$45.00
908,california, 94578,$40.00
909,california, 94579,$45.00
910,california, 93401,$45.00
911,california, 93405,$40.00
912,california, 92069,$45.00
913,california, 92078,$45.00
914,california, 91108,$40.00
915,california, 94401,$55.00
916,california, 94402,$55.00
917,california, 94403,$60.00
918,california, 94404,$60.00
919,california, 94806,$45.00
920,california, 90731,$55.00
921,california, 90732,$50.00
922,california, 94901,$50.00
923,california, 94903,$50.00
924,california, 94582,$50.00
925,california, 94583,$45.00
926,california, 92173,$45.00
927,california, 92701,$40.00
928,california, 92703,$90.00
929,california, 92704,$40.00
930,california, 92705,$45.00
931,california, 92706,$60.00
932,california, 92707,$50.00
933,california, 93101,$55.00
934,california, 93103,$50.00
935,california, 93105,$55.00
936,california, 93106,$35.00
937,california, 93107,$25.00
938,california, 93108,$35.00
939,california, 93109,$65.00
940,california, 93110,$50.00
941,california, 93111,$40.00
942,california, 95050,$65.00
943,california, 95051,$50.00
944,california, 95053,$35.00
945,california, 95054,$45.00
946,california, 91350,$40.00
947,california, 91390,$35.00
948,california, 95060,$40.00
949,california, 95062,$45.00
950,california, 95064,$45.00
951,california, 95065,$45.00
952,california, 90670,$35.00
953,california, 93454,$45.00
954,california, 93455,$50.00
955,california, 93458,$40.00
956,california, 90401,$65.00
957,california, 90402,$80.00
958,california, 90403,$60.00
959,california, 90404,$75.00
960,california, 90405,$55.00
961,california, 93060,$40.00
962,california, 95401,$45.00
963,california, 95403,$40.00
964,california, 95404,$50.00
965,california, 95405,$45.00
966,california, 95407,$45.00
967,california, 95409,$50.00
968,california, 93460,$65.00
969,california, 92070,$35.00
970,california, 92071,$45.00
971,california, 95070,$50.00
972,california, 94965,$80.00
973,california, 95066,$50.00
974,california, 90740,$45.00
975,california, 93955,$45.00
976,california, 95472,$45.00
977,california, 93662,$40.00
978,california, 91403,$55.00
979,california, 91423,$55.00
980,california, 95682,$45.00
981,california, 91024,$45.00
982,california, 90755,$35.00
983,california, 93063,$45.00
984,california, 93065,$45.00
985,california, 93094,$45.00
986,california, 95683,$50.00
987,california, 95567,$30.00
988,california, 92075,$45.00
989,california, 93960,$45.00
990,california, 93463,$55.00
991,california, 95684,$45.00
992,california, 95476,$65.00
993,california, 95370,$50.00
994,california, 95073,$50.00
995,california, 91733,$35.00
996,california, 90280,$25.00
997,california, 96150,$40.00
998,california, 96151,$45.00
999,california, 91030,$50.00
1000,california, 94080,$55.00
1001,california, 91977,$45.00
1002,california, 91978,$50.00
1003,california, 93675,$35.00
1004,california, 94305,$110.00
1005,california, 90680,$45.00
1006,california, 91381,$45.00
1007,california, 95202,$25.00
1008,california, 95203,$50.00
1009,california, 95204,$45.00
1010,california, 95206,$50.00
1011,california, 95207,$35.00
1012,california, 95209,$30.00
1013,california, 95212,$50.00
1014,california, 95219,$30.00
1015,california, 93267,$40.00
1016,california, 91604,$65.00
1017,california, 92386,$35.00
1018,california, 94585,$40.00
1019,california, 93067,$40.00
1020,california, 92585,$40.00
1021,california, 92586,$45.00
1022,california, 92587,$50.00
1023,california, 91352,$35.00
1024,california, 91040,$35.00
1025,california, 94085,$60.00
1026,california, 94086,$50.00
1027,california, 94087,$45.00
1028,california, 94089,$45.00
1029,california, 94586,$40.00
1030,california, 96130,$40.00
1031,california, 91342,$50.00
1032,california, 93268,$30.00
1033,california, 96145,$40.00
1034,california, 91356,$50.00
1035,california, 93561,$35.00
1036,california, 92590,$40.00
1037,california, 92591,$50.00
1038,california, 92592,$45.00
1039,california, 92593,$35.00
1040,california, 91780,$45.00
1041,california, 91360,$50.00
1042,california, 91362,$50.00
1043,california, 90290,$90.00
1044,california, 90501,$60.00
1045,california, 90502,$50.00
1046,california, 90503,$40.00
1047,california, 90504,$40.00
1048,california, 90505,$45.00
1049,california, 92679,$50.00
1050,california, 95304,$35.00
1051,california, 95376,$35.00
1052,california, 95377,$35.00
1053,california, 95391,$45.00
1054,california, 95570,$40.00
1055,california, 96161,$40.00
1056,california, 91042,$45.00
1057,california, 93274,$35.00
1058,california, 95380,$35.00
1059,california, 95382,$50.00
1060,california, 92780,$50.00
1061,california, 92782,$50.00
1062,california, 92277,$50.00
1063,california, 95482,$40.00
1064,california, 94587,$50.00
1065,california, 91784,$40.00
1066,california, 91786,$45.00
1067,california, 95687,$35.00
1068,california, 95688,$40.00
