22193,Woodbridge VA,"76,025",3%,32.6,"$67,190.00"
77429,Cypress TX,"76,016",4%,34.8,"$78,527.00"
93535,Lancaster CA,"75,841",5%,28.3,"$39,747.00"
66062,Olathe KS,"75,688",1%,32.8,"$68,682.00"
93257,Porterville CA,"75,659",0%,29.1,"$30,995.00"
30349,Atlanta GA,"75,615",10%,31.4,"$39,141.00"
60647,Chicago IL,"75,516",-15%,30.7,"$35,283.00"
77584,Pearland TX,"75,508",6%,33.6,"$70,113.00"
10452,Bronx NY,"75,321",0%,30.2,"$20,606.00"
77573,League City TX,"75,290",4%,34.9,"$68,458.00"
11377,Woodside NY,"75,274",-19%,35.7,"$37,360.00"
11207,Brooklyn NY,"75,149",-24%,31,"$24,163.00"
77494,Katy TX,"75,051",17%,33.7,"$86,488.00"
75211,Dallas TX,"74,937",2%,27.1,"$32,702.00"
11234,Brooklyn NY,"74,872",-17%,39.1,"$51,446.00"
28269,Charlotte NC,"74,794",5%,32.6,"$61,899.00"
11235,Brooklyn NY,"74,770",-5%,45,"$31,013.00"
94544,Hayward CA,"74,736",2%,32.3,"$49,452.00"
10029,New York NY,"74,350",-2%,33.3,"$22,232.00"
60625,Chicago IL,"74,239",-5%,32.5,"$40,083.00"
89110,Las Vegas NV,"74,141",4%,30.1,"$43,073.00"
92509,Riverside CA,"74,036",-1%,29.9,"$45,995.00"
77083,Houston TX,"73,953",4%,32,"$52,931.00"
91335,Reseda CA,"73,881",0%,35.5,"$40,792.00"
85364,Yuma AZ,"73,806",-1%,31.1,"$31,515.00"
87121,Albuquerque NM,"73,554",-4%,27.9,"$34,359.00"
10468,Bronx NY,"73,501",-3%,31.3,"$26,852.00"
90255,Huntington Park CA,"73,477",-2%,29.1,"$30,375.00"
93065,Simi Valley CA,"73,357",1%,37.1,"$72,384.00"
91710,Chino CA,"73,117",-9%,33,"$55,185.00"
10462,Bronx NY,"73,071",-3%,34.9,"$33,735.00"
